Metal,High Hours,Anxiety_Present,Depression_Present,No effect
Video game music,High Hours,Anxiety_Present,Depression_Present,No effect
Classical,High Hours,Anxiety_Present,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Absent,Improve
Video game music,High Hours,Anxiety_Present,Depression_Absent,Improve
Metal,High Hours,Anxiety_Present,Depression_Present,Improve
EDM,Low-Medium,Anxiety_Absent,Depression_Absent,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Present,Improve
Metal,High Hours,Anxiety_Present,Depression_Absent,Improve
Rock,High Hours,Anxiety_Present,Depression_Present,Improve
Metal,Low-Medium,Anxiety_Absent,Depression_Present,Improve
Classical,Low-Medium,Anxiety_Absent,Depression_Absent,Improve
Metal,High Hours,Anxiety_Present,Depression_Present,No effect
Rock,Low-Medium,Anxiety_Present,Depression_Present,No effect
Rock,Low-Medium,Anxiety_Present,Depression_Present,Improve
Metal,Low-Medium,Anxiety_Present,Depression_Present,No effect
Pop,Low-Medium,Anxiety_Present,Depression_Present,No effect
Pop,Low-Medium,Anxiety_Present,Depression_Present,Improve
Metal,High Hours,Anxiety_Present,Depression_Present,No effect
Metal,Low-Medium,Anxiety_Present,Depression_Absent,Improve
Metal,Low-Medium,Anxiety_Present,Depression_Absent,Improve
Pop,Low-Medium,Anxiety_Present,Depression_Present,Improve
Pop,High Hours,Anxiety_Present,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Present,Improve
K pop,High Hours,Anxiety_Present,Depression_Absent,Improve
Hip hop,High Hours,Anxiety_Present,Depression_Present,Improve
Metal,Low-Medium,Anxiety_Present,Depression_Absent,Improve
EDM,Low-Medium,Anxiety_Absent,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Present,Improve
Folk,Low-Medium,Anxiety_Present,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Present,No effect
Rock,Low-Medium,Anxiety_Present,Depression_Absent,Improve
Hip hop,Low-Medium,Anxiety_Present,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Present,No effect
Other,High Hours,Anxiety_Present,Depression_Absent,Improve
EDM,High Hours,Anxiety_Present,Depression_Present,Improve
Pop,High Hours,Anxiety_Present,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Present,Worsen
Metal,Low-Medium,Anxiety_Present,Depression_Present,Improve
Rock,High Hours,Anxiety_Present,Depression_Absent,No effect
Video game music,Low-Medium,Anxiety_Present,Depression_Present,Improve
Rock,High Hours,Anxiety_Present,Depression_Present,Improve
Pop,High Hours,Anxiety_Present,Depression_Present,Improve
EDM,Low-Medium,Anxiety_Absent,Depression_Present,No effect
Rock,Low-Medium,Anxiety_Present,Depression_Present,Improve
Video game music,Low-Medium,Anxiety_Present,Depression_Absent,Improve
Classical,Low-Medium,Anxiety_Absent,Depression_Absent,Improve
Pop,Low-Medium,Anxiety_Present,Depression_Present,Improve
Pop,Low-Medium,Anxiety_Absent,Depression_Absent,No effect
Pop,Low-Medium,Anxiety_Present,Depression_Present,Improve
Other,High Hours,Anxiety_Absent,Depression_Present,Improve
Rap,Low-Medium,Anxiety_Absent,Depression_Present,No effect
Metal,High Hours,Anxiety_Present,Depression_Present,Improve
